[2026-03-20T07:25:15.388312] Ep 500/200000 | 胜率: 16.0% | 奖励: -0.002 | 速度: 0.0/s
[2026-03-20T07:26:04.115598] Ep 1000/200000 | 胜率: 18.0% | 奖励: 0.059 | 速度: 0.0/s
[2026-03-20T07:26:53.956869] Ep 1500/200000 | 胜率: 28.0% | 奖励: 0.124 | 速度: 0.0/s
[2026-03-20T07:27:56.584760] Ep 2000/200000 | 胜率: 0.0% | 奖励: -0.173 | 速度: 0.0/s
[2026-03-20T07:29:01.548950] Ep 2500/200000 | 胜率: 18.0% | 奖励: 0.051 | 速度: 0.0/s
[2026-03-20T07:30:03.719746] Ep 3000/200000 | 胜率: 0.0% | 奖励: -0.093 | 速度: 0.0/s
[2026-03-20T08:21:02.595564] Ep 500/200000 | 胜率: 12.0% | 奖励: -0.011 | 速度: 0.0/s
[2026-03-20T08:21:50.406502] Ep 1000/200000 | 胜率: 20.0% | 奖励: 0.072 | 速度: 0.0/s
[2026-03-20T08:22:40.741071] Ep 1500/200000 | 胜率: 24.0% | 奖励: 0.089 | 速度: 0.0/s
[2026-03-20T08:23:43.349772] Ep 2000/200000 | 胜率: 0.0% | 奖励: -0.048 | 速度: 0.0/s
[2026-03-20T08:24:49.141811] Ep 2500/200000 | 胜率: 20.0% | 奖励: 0.037 | 速度: 0.0/s
[2026-03-20T08:26:02.037868] Ep 3000/200000 | 胜率: 0.0% | 奖励: -0.027 | 速度: 0.0/s
[2026-03-20T08:27:06.794652] Ep 3500/200000 | 胜率: 30.0% | 奖励: 0.153 | 速度: 0.0/s
[2026-03-20T08:28:01.305801] Ep 4000/200000 | 胜率: 6.0% | 奖励: -0.188 | 速度: 0.0/s
[2026-03-20T08:29:07.074125] Ep 4500/200000 | 胜率: 0.0% | 奖励: -0.137 | 速度: 0.0/s
[2026-03-20T08:30:25.802987] 保存检查点: /workspace/projects/model_ep5000.pt, 胜率: 0.0%
[2026-03-20T08:30:25.803674] Ep 5000/200000 | 胜率: 0.0% | 奖励: -0.040 | 速度: 0.0/s
[2026-03-20T08:31:46.625968] Ep 5500/200000 | 胜率: 0.0% | 奖励: -0.157 | 速度: 0.0/s
[2026-03-20T08:33:00.057752] Ep 6000/200000 | 胜率: 6.0% | 奖励: -0.090 | 速度: 0.0/s
[2026-03-20T08:34:02.531949] Ep 6500/200000 | 胜率: 12.0% | 奖励: -0.116 | 速度: 0.0/s
[2026-03-20T08:35:00.179810] Ep 7000/200000 | 胜率: 16.0% | 奖励: -0.090 | 速度: 0.0/s
[2026-03-20T08:35:59.073228] Ep 7500/200000 | 胜率: 4.0% | 奖励: -0.179 | 速度: 0.0/s
[2026-03-20T08:36:57.816239] Ep 8000/200000 | 胜率: 16.0% | 奖励: -0.026 | 速度: 0.0/s
[2026-03-20T08:37:58.167223] Ep 8500/200000 | 胜率: 10.0% | 奖励: -0.183 | 速度: 0.0/s
[2026-03-20T08:39:01.125462] Ep 9000/200000 | 胜率: 14.0% | 奖励: -0.162 | 速度: 0.0/s
[2026-03-20T08:40:05.046806] Ep 9500/200000 | 胜率: 2.0% | 奖励: -0.201 | 速度: 0.0/s
[2026-03-20T08:41:10.965988] 保存检查点: /workspace/projects/model_ep10000.pt, 胜率: 2.0%
[2026-03-20T08:41:10.966886] Ep 10000/200000 | 胜率: 2.0% | 奖励: -0.278 | 速度: 0.0/s
[2026-03-20T08:42:17.579305] Ep 10500/200000 | 胜率: 2.0% | 奖励: -0.309 | 速度: 0.0/s
[2026-03-20T08:43:24.050395] Ep 11000/200000 | 胜率: 0.0% | 奖励: -0.291 | 速度: 0.0/s
[2026-03-20T08:44:32.461408] Ep 11500/200000 | 胜率: 0.0% | 奖励: -0.349 | 速度: 0.0/s
[2026-03-20T08:45:42.395606] Ep 12000/200000 | 胜率: 0.0% | 奖励: -0.237 | 速度: 0.0/s
[2026-03-20T08:46:50.436834] Ep 12500/200000 | 胜率: 2.0% | 奖励: -0.290 | 速度: 0.0/s
[2026-03-20T08:48:00.194896] Ep 13000/200000 | 胜率: 0.0% | 奖励: -0.307 | 速度: 0.0/s
[2026-03-20T08:49:08.270179] Ep 13500/200000 | 胜率: 0.0% | 奖励: -0.211 | 速度: 0.0/s
[2026-03-20T08:50:19.150763] Ep 14000/200000 | 胜率: 0.0% | 奖励: -0.199 | 速度: 0.0/s
[2026-03-20T08:51:30.457194] Ep 14500/200000 | 胜率: 0.0% | 奖励: -0.271 | 速度: 0.0/s
[2026-03-20T08:52:41.503452] 保存检查点: /workspace/projects/model_ep15000.pt, 胜率: 0.0%
[2026-03-20T08:52:41.504327] Ep 15000/200000 | 胜率: 0.0% | 奖励: -0.267 | 速度: 0.0/s
[2026-03-20T08:53:51.602203] Ep 15500/200000 | 胜率: 0.0% | 奖励: -0.161 | 速度: 0.0/s
[2026-03-20T08:55:02.641391] Ep 16000/200000 | 胜率: 0.0% | 奖励: -0.257 | 速度: 0.0/s
[2026-03-20T08:56:13.039311] Ep 16500/200000 | 胜率: 0.0% | 奖励: -0.136 | 速度: 0.0/s
